,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree
3533,0,Non-White,1,0,0,0,21,1.0,1.0,False
4369,1,White,1,0,0,0,9,1.0,27.0,False
3204,1,Non-White,0,0,0,0,1,1.0,1.0,False
3553,1,Non-White,1,0,0,0,3,1.0,2.0,False
2567,1,Non-White,1,0,0,0,13,1.0,242.0,False
956,0,Non-White,0,0,1,0,11,1.0,7.0,False
4540,0,Non-White,1,0,0,0,8,23.0,9.0,False
2227,1,Non-White,1,0,0,0,0,0.0,42.0,False
2619,1,Non-White,0,0,0,0,0,1.0,1.0,True
4647,1,Non-White,0,0,0,0,6,1.0,2.0,False
5326,1,Non-White,1,0,0,0,7,1.0,198.0,True
3645,1,White,1,0,0,0,1,1.0,1.0,False
3630,1,White,1,0,0,0,0,0.0,2.0,True
1396,1,White,0,0,0,1,0,1.0,1.0,True
3973,1,White,0,0,0,0,0,1.0,1.0,False
5716,0,White,0,0,0,0,0,1.0,19.0,False
4374,1,Non-White,1,0,0,0,2,0.0,0.0,False
1250,1,Non-White,1,0,0,0,1,13.0,0.0,True
3787,1,White,1,0,0,0,0,3.0,1.0,True
830,0,White,1,0,0,0,8,4.0,1.0,False
1264,0,Non-White,0,0,0,0,8,1.0,2.0,True
5063,1,White,1,0,0,0,1,1.0,4.0,True
6020,1,Non-White,1,0,0,0,1,1.0,2.0,False
4160,1,White,0,0,0,0,0,1.0,1.0,False
1841,1,Non-White,1,0,0,0,3,1.0,1.0,False
476,0,Non-White,0,8,0,1,16,1.0,1.0,False
4331,1,White,1,0,0,0,2,12.0,3.0,False
5460,1,Non-White,1,0,0,0,0,0.0,58.0,False
3091,1,Non-White,1,0,0,0,0,2.0,1.0,True
4921,1,Non-White,1,0,0,0,4,13.0,1.0,False
2381,0,Non-White,1,0,0,0,9,1.0,1.0,False
5979,1,Non-White,0,0,0,0,0,1.0,1.0,True
1186,1,Non-White,1,0,0,0,0,4.0,4.0,False
3569,1,Non-White,0,0,0,0,2,1.0,125.0,False
2068,1,Non-White,0,0,0,0,1,0.0,1.0,False
797,0,Non-White,1,0,0,0,14,1.0,2.0,False
6135,0,Non-White,1,0,0,0,4,1.0,3.0,True
1827,1,Non-White,1,0,0,0,5,0.0,2.0,False
1295,1,White,1,0,0,0,0,0.0,0.0,False
6072,0,Non-White,1,2,3,0,16,28.0,33.0,True
1402,0,Non-White,1,0,1,0,23,1.0,1.0,False
4010,1,Non-White,1,0,1,0,6,1.0,2.0,True
2338,1,Non-White,0,0,0,0,0,1.0,1.0,True
1843,1,White,0,0,0,0,5,1.0,1.0,False
5816,0,Non-White,0,0,0,0,10,1.0,1.0,False
2307,1,White,0,0,0,0,0,1.0,1.0,False
5538,0,Non-White,1,0,0,0,1,1.0,115.0,True
3468,1,Non-White,0,0,0,0,0,0.0,0.0,False
4217,1,Non-White,0,0,0,0,0,1.0,1.0,False
4185,1,Non-White,0,0,0,0,0,1.0,1.0,False
2209,0,White,1,0,0,0,3,1.0,2.0,False
4252,1,White,1,0,0,0,9,1.0,1.0,True
3335,1,Non-White,0,0,0,0,1,15.0,15.0,False
211,1,Non-White,0,0,0,0,0,0.0,0.0,False
4253,0,Non-White,1,0,2,2,16,1.0,6.0,False
4163,1,Non-White,1,0,0,0,0,1.0,5.0,False
2096,1,White,1,0,0,0,1,1.0,1.0,True
2249,0,White,0,0,1,1,7,1.0,2.0,True
2041,1,Non-White,1,0,0,0,1,1.0,1.0,False
1804,1,White,1,0,0,0,0,0.0,0.0,True
3585,1,Non-White,1,0,0,0,0,1.0,1.0,False
2127,1,Non-White,0,0,0,0,0,1.0,2.0,True
4341,0,Non-White,0,0,0,0,3,0.0,5.0,False
3883,1,White,1,0,0,0,0,1.0,6.0,False
5636,1,Non-White,1,0,0,0,6,0.0,0.0,False
4610,1,White,1,0,0,0,8,1.0,1.0,False
3881,1,White,1,0,0,0,1,1.0,39.0,False
4989,1,Non-White,0,0,0,0,0,0.0,0.0,False
5048,0,White,1,0,0,0,7,0.0,0.0,False
2719,1,Non-White,0,0,0,0,1,1.0,2.0,False
2244,1,White,1,0,0,0,4,1.0,31.0,True
5642,1,White,0,0,0,1,0,1.0,1.0,False
3194,0,White,1,0,0,0,2,0.0,5.0,False
4942,1,White,0,0,0,0,0,1.0,0.0,True
333,0,Non-White,0,0,0,1,0,0.0,21.0,True
4201,0,White,0,0,0,1,0,1.0,1.0,False
693,1,White,1,0,0,0,1,1.0,1.0,True
428,1,White,1,0,0,0,4,1.0,1.0,True
512,0,Non-White,1,0,0,0,1,8.0,40.0,True
3278,1,Non-White,0,0,0,0,0,1.0,1.0,True
1266,1,Non-White,0,0,0,0,7,1.0,2.0,False
4675,1,Non-White,0,0,1,0,6,8.0,2.0,True
3009,1,Non-White,1,0,0,0,1,0.0,1.0,True
3631,1,Non-White,0,0,0,0,1,1.0,1.0,False
739,1,Non-White,0,0,0,0,0,1.0,2.0,False
4764,1,White,1,0,0,0,5,29.0,5.0,False
489,1,Non-White,1,0,0,0,1,8.0,8.0,False
676,1,Non-White,0,0,0,0,0,1.0,1.0,False
4192,1,White,0,0,0,0,0,0.0,1.0,True
2413,0,Non-White,0,0,0,0,0,1.0,2.0,False
3119,0,Non-White,1,0,0,0,5,1.0,1.0,False
5552,1,Non-White,1,0,0,0,0,0.0,0.0,True
1612,1,White,0,0,0,0,0,2.0,1.0,True
3987,1,Non-White,0,0,0,0,5,0.0,1.0,False
354,1,White,0,0,0,0,0,0.0,5.0,True
1343,1,White,0,0,1,0,6,16.0,2.0,False
3193,1,Non-White,1,0,0,0,0,3.0,1.0,False
4482,0,Non-White,0,0,0,0,0,1.0,1.0,True
1829,1,Non-White,1,0,0,0,18,1.0,9.0,False
2707,1,Non-White,0,0,1,0,4,1.0,2.0,False
5892,0,Non-White,0,0,0,0,8,0.0,1.0,True
110,1,White,0,0,0,0,1,20.0,4.0,True
4950,1,Non-White,1,0,0,0,3,0.0,0.0,False
4394,1,Non-White,0,0,0,0,7,1.0,1.0,False
2453,1,Non-White,1,0,0,0,2,1.0,1.0,False
5587,1,Non-White,1,0,0,0,12,0.0,118.0,True
4443,1,Non-White,1,0,0,0,8,1.0,2.0,False
5823,1,White,1,0,0,0,1,1.0,1.0,False
4181,1,Non-White,1,0,0,0,0,0.0,0.0,False
687,1,Non-White,0,0,0,0,1,1.0,1.0,False
2467,1,Non-White,1,0,0,0,10,1.0,4.0,False
5421,0,Non-White,0,1,2,1,6,1.0,1.0,True
5579,1,White,1,0,0,0,0,1.0,1.0,False
447,1,Non-White,0,0,1,0,1,1.0,1.0,True
4037,1,Non-White,1,0,0,1,7,0.0,1.0,True
5383,1,White,1,0,0,0,0,0.0,0.0,False
5468,0,Non-White,0,1,0,2,1,1.0,2.0,False
3998,1,Non-White,0,0,0,0,1,1.0,1.0,False
6108,0,Non-White,0,0,0,1,1,1.0,109.0,False
1449,1,Non-White,1,0,0,0,5,0.0,1.0,False
1492,1,White,0,0,0,0,0,3.0,2.0,False
1246,0,Non-White,0,0,0,0,1,8.0,8.0,False
2400,0,Non-White,0,0,1,1,3,0.0,319.0,False
642,1,Non-White,0,0,0,0,1,1.0,1.0,False
2057,1,White,1,0,0,0,0,6.0,4.0,True
2486,1,Non-White,0,0,0,0,2,0.0,1.0,False
4425,1,Non-White,0,0,0,0,1,1.0,4.0,False
4780,0,Non-White,0,0,0,0,2,1.0,2.0,True
606,1,White,1,0,0,0,0,1.0,3.0,False
4858,1,Non-White,0,0,0,2,6,1.0,1.0,True
3579,1,White,1,0,0,0,6,0.0,1.0,False
5489,0,Non-White,0,0,0,0,11,1.0,1.0,True
6011,1,Non-White,0,0,0,1,0,1.0,1.0,False
4522,0,Non-White,0,0,0,1,13,1.0,1.0,False
4029,1,Non-White,0,0,0,0,1,1.0,2.0,False
2494,1,White,1,0,1,0,7,1.0,1.0,False
1510,1,Non-White,1,0,0,0,0,0.0,0.0,True
1153,1,Non-White,1,0,0,0,1,0.0,0.0,True
715,1,Non-White,0,0,0,0,1,1.0,5.0,False
3722,1,White,1,0,0,0,3,1.0,2.0,True
1621,1,White,0,0,0,0,1,1.0,31.0,False
4770,0,Non-White,1,0,0,0,7,1.0,1.0,False
1677,1,Non-White,1,0,0,0,0,0.0,0.0,False
5195,1,Non-White,1,0,0,0,3,0.0,0.0,False
4597,1,Non-White,0,0,0,0,1,1.0,1.0,False
5750,0,Non-White,1,0,0,0,0,1.0,2.0,True
77,1,Non-White,1,0,0,0,9,0.0,4.0,False
5360,1,White,1,0,0,0,2,1.0,11.0,True
1830,1,Non-White,1,0,0,0,15,0.0,55.0,False
2224,1,White,1,0,0,0,0,1.0,2.0,True
3624,1,Non-White,0,0,0,0,0,1.0,2.0,True
4602,1,Non-White,1,0,0,0,8,4.0,1.0,True
1601,1,Non-White,0,0,0,0,1,0.0,1.0,False
3977,1,White,1,0,0,0,0,1.0,1.0,False
1176,0,Non-White,1,0,0,0,0,0.0,1.0,False
975,1,Non-White,1,0,0,0,0,1.0,1.0,False
5689,1,White,1,0,0,0,0,1.0,24.0,True
2616,1,Non-White,1,0,0,0,0,1.0,1.0,False
5826,1,White,1,0,0,0,2,1.0,13.0,True
2541,1,Non-White,0,0,0,0,2,0.0,7.0,True
3680,1,Non-White,1,0,0,0,2,1.0,1.0,False
215,1,Non-White,1,0,0,0,0,1.0,1.0,True
4318,1,Non-White,1,0,0,0,1,21.0,21.0,False
1440,1,White,1,0,0,0,1,1.0,13.0,False
2345,1,Non-White,1,0,0,0,0,2.0,2.0,True
1304,0,Non-White,0,0,0,0,7,0.0,2.0,True
5135,0,Non-White,0,0,0,0,5,1.0,2.0,True
1673,1,White,1,0,0,0,0,1.0,1.0,False
5527,1,Non-White,1,0,0,0,1,1.0,2.0,True
1471,1,Non-White,1,0,0,0,8,1.0,1.0,False
3789,1,Non-White,1,0,0,0,2,1.0,259.0,False
3963,1,White,0,0,0,1,3,1.0,8.0,False
905,0,Non-White,0,0,0,0,0,5.0,1.0,False
3715,1,White,1,0,0,1,0,1.0,1.0,True
4249,1,White,1,0,0,0,1,5.0,1.0,True
1378,1,Non-White,1,0,0,0,1,1.0,1.0,False
4381,0,Non-White,0,0,0,0,1,1.0,1.0,True
1302,1,Non-White,0,0,0,0,2,1.0,14.0,True
4763,1,White,1,0,0,0,0,0.0,2.0,True
1037,0,Non-White,0,0,0,0,0,1.0,1.0,False
286,0,Non-White,1,0,1,0,12,1.0,2.0,False
1173,1,Non-White,0,0,0,0,3,21.0,1.0,False
6133,0,Non-White,0,0,0,0,0,1.0,1.0,False
1315,1,White,1,0,0,0,2,1.0,2.0,True
2650,1,White,1,0,0,0,1,1.0,1.0,False
1332,1,White,1,0,0,0,1,20.0,1.0,False
1716,0,Non-White,0,0,1,0,13,1.0,0.0,True
5099,0,Non-White,1,0,0,0,12,1.0,12.0,False
5096,1,White,1,0,0,0,2,1.0,5.0,False
1524,1,Non-White,1,0,0,0,1,1.0,114.0,True
5679,1,Non-White,1,0,0,0,11,0.0,1.0,True
4688,0,White,0,0,0,3,10,0.0,1.0,True
5857,1,Non-White,1,0,0,0,3,1.0,1.0,True
4093,1,White,1,0,0,0,3,23.0,0.0,False
2314,1,Non-White,0,0,0,0,5,0.0,3.0,False
1695,0,Non-White,1,0,0,0,0,0.0,34.0,False
74,1,Non-White,0,0,0,0,0,1.0,1.0,False
747,0,White,0,0,1,0,1,1.0,20.0,False
3312,0,White,0,0,0,0,0,1.0,1.0,False
338,1,Non-White,1,0,0,0,3,0.0,1.0,False
4970,1,White,1,0,0,0,1,1.0,11.0,False
1858,1,Non-White,1,0,0,0,1,17.0,7.0,False
5169,1,White,1,0,0,0,0,1.0,2.0,True
4047,1,White,0,3,0,0,4,0.0,96.0,False
3688,1,Non-White,0,0,0,0,0,1.0,1.0,False
3536,1,Non-White,0,0,0,1,2,1.0,35.0,False
1963,1,Non-White,0,0,0,0,0,1.0,1.0,False
4357,1,White,1,0,0,0,8,1.0,4.0,True
2077,1,White,1,0,0,0,1,1.0,1.0,True
4982,0,Non-White,1,0,0,0,0,1.0,2.0,True
2843,1,Non-White,0,0,1,0,10,1.0,244.0,False
4864,1,White,1,0,0,0,1,1.0,1.0,True
4580,0,Non-White,1,0,6,5,17,1.0,113.0,False
4657,1,Non-White,1,0,0,0,8,1.0,9.0,True
1065,1,White,1,0,0,0,5,1.0,0.0,True
2599,1,White,1,0,0,0,2,0.0,34.0,True
2572,1,White,1,0,0,0,0,1.0,1.0,True
4488,0,White,0,4,1,0,10,1.0,3.0,False
5993,1,Non-White,0,0,0,0,1,1.0,1.0,False
781,1,White,1,0,0,0,1,5.0,4.0,False
6147,1,White,1,0,0,0,14,28.0,20.0,False
4221,0,Non-White,1,0,0,0,0,1.0,57.0,True
1644,1,Non-White,0,0,0,0,1,23.0,1.0,False
999,1,Non-White,1,0,0,0,0,1.0,3.0,True
725,1,White,0,0,2,0,3,1.0,1.0,False
922,1,White,1,0,0,0,2,0.0,13.0,False
1571,1,Non-White,1,0,0,0,10,7.0,5.0,True
1859,1,White,1,0,0,0,3,1.0,1.0,False
50,1,White,1,0,0,0,8,13.0,13.0,False
1161,1,Non-White,1,0,0,0,1,18.0,17.0,False
4262,0,Non-White,0,2,2,0,4,1.0,2.0,False
2846,1,Non-White,1,0,0,0,0,1.0,78.0,True
1516,1,Non-White,0,0,0,0,0,1.0,13.0,False
4899,0,Non-White,1,1,0,0,7,0.0,2.0,False
2152,1,Non-White,1,0,0,0,2,8.0,8.0,False
1379,1,Non-White,0,0,0,0,0,0.0,0.0,True
4397,1,White,1,0,0,0,1,0.0,62.0,False
3184,1,White,0,0,0,0,1,11.0,9.0,False
1680,0,Non-White,1,0,0,0,21,1.0,64.0,False
4881,0,Non-White,1,0,0,0,19,0.0,220.0,False
235,1,Non-White,1,0,0,0,2,1.0,1.0,True
4434,1,Non-White,0,0,0,0,0,1.0,33.0,False
2735,1,White,1,0,0,0,0,1.0,1.0,False
5847,0,Non-White,0,0,0,0,0,0.0,78.0,False
3597,1,White,0,0,0,0,1,1.0,13.0,False
958,1,Non-White,1,0,0,0,1,28.0,1.0,False
626,1,Non-White,0,0,0,0,0,0.0,0.0,False
4902,1,White,1,0,0,0,12,26.0,13.0,False
5276,1,White,0,0,0,0,1,1.0,26.0,False
2352,1,White,1,0,0,0,0,1.0,1.0,False
3382,1,White,1,0,0,0,3,1.0,14.0,False
2933,1,Non-White,0,0,0,0,2,1.0,45.0,True
464,1,White,0,0,0,0,2,1.0,1.0,False
1548,1,White,1,0,0,0,2,0.0,0.0,True
4477,1,White,0,0,0,0,3,1.0,1.0,False
3051,1,Non-White,1,0,0,0,0,0.0,1.0,True
1672,1,Non-White,1,0,0,0,5,1.0,0.0,True
1155,1,White,1,0,0,0,17,25.0,23.0,False
3069,1,Non-White,1,0,0,0,13,13.0,1.0,False
3779,0,Non-White,0,0,1,0,3,1.0,81.0,True
3938,1,White,1,0,0,0,5,1.0,1.0,False
1482,1,White,1,0,0,0,0,0.0,0.0,False
2837,1,Non-White,0,0,0,0,5,1.0,52.0,True
3749,0,Non-White,0,0,1,0,7,1.0,20.0,False
3104,1,White,0,0,0,0,0,1.0,1.0,False
2997,1,Non-White,0,0,2,1,3,1.0,1.0,True
5046,1,Non-White,0,0,0,0,1,1.0,1.0,True
3431,1,White,1,0,0,0,0,1.0,1.0,False
5303,0,Non-White,0,0,0,0,1,1.0,1.0,False
2489,1,White,1,0,0,0,1,0.0,4.0,True
3870,1,Non-White,1,0,0,0,0,3.0,1.0,True
5940,1,Non-White,0,0,0,0,1,1.0,1.0,False
384,1,White,1,0,0,0,6,1.0,2.0,False
4245,1,White,1,0,0,0,8,1.0,2.0,False
3701,1,Non-White,1,0,0,0,0,1.0,3.0,False
1970,1,White,1,0,0,0,1,12.0,12.0,False
71,0,Non-White,0,0,0,0,8,1.0,1.0,True
150,1,Non-White,1,0,0,0,2,1.0,188.0,False
3696,0,Non-White,1,1,0,0,10,1.0,1.0,False
545,1,Non-White,0,0,0,0,0,1.0,3.0,False
5848,1,White,0,0,0,1,2,0.0,1.0,True
4039,0,Non-White,1,0,1,3,7,1.0,1.0,False
3393,1,Non-White,1,0,0,0,19,1.0,3.0,False
1666,1,Non-White,1,0,0,0,0,1.0,2.0,False
6088,1,White,1,0,0,0,0,2.0,1.0,True
1967,1,Non-White,0,0,0,0,1,1.0,1.0,False
6081,0,Non-White,0,0,0,0,5,1.0,1.0,False
2176,1,White,1,0,0,0,2,1.0,1.0,True
1502,1,Non-White,1,0,0,0,1,0.0,2.0,False
3530,1,Non-White,0,0,0,0,9,1.0,1.0,False
2213,1,Non-White,1,0,0,0,0,0.0,0.0,False
403,1,White,1,0,0,0,3,1.0,1.0,False
5161,1,Non-White,0,0,0,1,1,1.0,1.0,False
4278,1,Non-White,1,0,0,0,1,1.0,1.0,False
2662,1,White,1,0,0,0,0,0.0,0.0,True
4013,1,Non-White,1,0,0,0,2,1.0,101.0,True
308,0,Non-White,0,0,0,0,4,1.0,220.0,False
4001,0,Non-White,0,0,0,0,0,1.0,1.0,True
4246,1,White,0,0,0,0,3,24.0,19.0,False
4306,1,Non-White,1,0,0,0,0,0.0,0.0,True
3248,1,Non-White,1,0,0,0,8,1.0,349.0,False
4615,1,White,1,0,0,0,3,1.0,2.0,True
4707,1,White,1,0,0,0,2,1.0,57.0,True
5240,0,Non-White,0,0,0,0,1,0.0,5.0,False
323,1,Non-White,1,0,0,0,2,1.0,1.0,False
2018,0,White,1,0,0,0,10,1.0,1.0,False
5837,1,Non-White,1,0,0,0,6,1.0,9.0,True
5043,1,White,1,0,0,0,0,1.0,1.0,True
4702,1,White,1,0,0,0,5,0.0,0.0,False
5159,1,White,1,0,0,0,0,1.0,1.0,False
4883,1,White,0,0,0,0,0,1.0,0.0,False
5116,1,White,1,0,0,0,1,1.0,2.0,True
3137,1,Non-White,1,0,0,0,22,1.0,69.0,False
5524,1,Non-White,1,0,0,0,0,1.0,1.0,True
1959,0,Non-White,0,0,0,0,6,0.0,1.0,False
4195,1,Non-White,1,0,0,0,4,0.0,4.0,False
5582,1,Non-White,1,0,0,0,4,1.0,1.0,False
553,1,White,1,0,0,0,1,1.0,1.0,False
4836,1,Non-White,0,0,0,0,3,1.0,2.0,False
3843,1,Non-White,0,0,0,0,0,0.0,1.0,True
1277,1,White,1,0,0,0,13,1.0,1.0,False
949,1,Non-White,1,0,0,0,4,1.0,2.0,True
4630,1,White,1,0,0,0,2,1.0,16.0,True
2169,0,Non-White,0,0,0,0,9,1.0,196.0,False
5381,1,Non-White,0,0,0,4,2,1.0,1.0,False
438,1,Non-White,0,0,0,0,5,1.0,2.0,False
3423,1,Non-White,0,0,0,0,3,1.0,1.0,False
5186,1,White,1,0,0,0,0,1.0,1.0,False
787,0,Non-White,1,0,0,0,3,1.0,220.0,True
827,1,Non-White,0,0,0,0,0,1.0,2.0,False
5640,1,White,0,0,0,0,1,1.0,1.0,True
3797,1,White,1,0,0,0,0,1.0,1.0,False
2208,1,Non-White,0,1,0,0,1,2.0,1.0,False
1906,1,Non-White,0,0,0,0,0,1.0,3.0,True
1031,1,White,1,0,0,0,0,1.0,1.0,True
1421,0,Non-White,1,2,3,0,24,1.0,20.0,False
2832,1,Non-White,0,0,0,0,0,1.0,1.0,True
2731,0,Non-White,0,0,0,0,0,1.0,1.0,False
2622,1,White,1,0,0,0,0,1.0,1.0,True
2954,1,Non-White,1,0,0,0,8,1.0,2.0,True
3663,0,Non-White,0,0,0,0,2,1.0,3.0,False
3840,0,White,0,0,0,0,7,1.0,1.0,False
151,1,Non-White,1,0,0,0,0,1.0,1.0,False
2854,1,Non-White,0,0,0,0,0,1.0,2.0,False
3852,1,Non-White,1,0,0,0,2,1.0,1.0,False
4737,1,White,1,0,0,0,0,1.0,1.0,False
1916,1,White,1,0,0,0,0,0.0,41.0,False
2161,1,Non-White,1,0,0,0,2,0.0,0.0,False
5724,1,White,1,0,0,0,0,1.0,1.0,True
672,1,Non-White,0,0,0,0,0,1.0,1.0,False
3300,1,Non-White,0,0,0,0,0,1.0,1.0,True
5869,1,White,1,0,0,0,2,0.0,0.0,True
2326,0,Non-White,0,4,0,0,13,8.0,36.0,False
5212,1,White,1,0,0,0,0,4.0,0.0,True
98,1,White,1,0,0,0,1,0.0,1.0,False
5917,1,White,0,0,0,0,0,1.0,1.0,True
5254,0,White,0,0,4,0,4,1.0,1.0,False
4247,0,White,1,0,0,0,10,0.0,118.0,False
2148,1,Non-White,1,0,0,0,1,1.0,1.0,True
1659,1,Non-White,1,0,0,0,1,1.0,1.0,True
814,1,Non-White,1,0,0,0,0,1.0,2.0,False
1125,1,White,1,0,0,0,2,10.0,2.0,False
5774,1,Non-White,1,0,0,0,0,1.0,1.0,True
