,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree
2569,1,Non-White,1,0,0,0,1,0.0,167.0,True
736,1,White,0,0,0,0,1,23.0,2.0,False
3642,1,White,0,0,0,0,5,0.0,0.0,False
5797,1,Non-White,0,0,0,0,5,1.0,258.0,False
3116,1,Non-White,0,0,0,0,2,1.0,132.0,False
5480,1,White,0,0,0,0,6,1.0,1.0,False
3212,1,Non-White,1,0,0,0,9,1.0,1.0,True
3664,1,Non-White,0,0,0,0,2,1.0,59.0,False
119,1,White,1,0,0,0,1,1.0,1.0,False
4917,1,Non-White,1,0,0,0,0,1.0,1.0,True
3867,1,Non-White,0,0,0,0,1,1.0,132.0,False
1575,0,White,0,0,0,0,1,1.0,1.0,False
3656,0,Non-White,0,0,0,2,1,1.0,6.0,True
192,1,Non-White,1,0,0,0,4,0.0,2.0,False
2054,1,Non-White,1,0,0,0,9,0.0,1.0,False
1954,1,Non-White,0,0,0,0,3,0.0,1.0,False
934,0,Non-White,0,0,0,0,0,0.0,0.0,False
6168,1,Non-White,0,0,0,0,0,1.0,2.0,False
5809,1,Non-White,0,0,0,0,0,2.0,1.0,True
278,1,White,0,0,0,0,1,4.0,1.0,False
1417,1,Non-White,0,0,0,0,0,0.0,1.0,True
525,0,White,0,0,0,0,3,1.0,6.0,False
3746,0,White,1,0,0,0,10,1.0,1.0,False
891,1,Non-White,1,0,0,0,2,1.0,2.0,True
5992,1,Non-White,0,0,0,0,1,1.0,21.0,False
1651,1,White,0,0,0,0,1,1.0,1.0,False
127,0,Non-White,0,0,0,0,2,1.0,1.0,False
3490,1,Non-White,1,0,0,0,2,1.0,1.0,False
602,0,Non-White,1,0,0,0,18,1.0,249.0,False
1925,1,White,0,0,0,0,0,0.0,5.0,True
106,0,White,1,0,0,0,3,2.0,1.0,True
4420,1,Non-White,1,0,0,0,2,1.0,1.0,False
5630,1,White,1,0,0,0,0,2.0,0.0,False
864,1,Non-White,1,0,0,0,0,0.0,1.0,False
1390,1,Non-White,1,0,0,0,2,1.0,1.0,False
4567,1,Non-White,1,0,0,0,1,1.0,1.0,False
282,1,Non-White,0,0,0,0,1,1.0,1.0,False
611,1,White,1,0,0,0,0,1.0,3.0,True
5675,1,Non-White,1,0,0,0,2,1.0,1.0,False
2793,0,Non-White,0,0,0,0,6,1.0,35.0,False
4624,1,Non-White,0,0,0,0,3,1.0,1.0,True
585,1,Non-White,1,0,0,0,3,1.0,2.0,True
1151,1,Non-White,0,0,0,0,0,1.0,2.0,True
5533,1,White,1,0,0,0,2,0.0,18.0,False
4579,0,Non-White,0,0,0,0,1,0.0,0.0,False
3486,1,White,1,0,0,0,5,18.0,0.0,True
3488,1,Non-White,1,0,0,0,1,1.0,5.0,False
2859,1,White,0,0,0,0,0,1.0,1.0,False
1089,1,Non-White,1,0,0,0,1,1.0,1.0,False
3189,1,Non-White,1,0,0,0,0,0.0,0.0,True
5872,1,Non-White,1,0,0,0,5,2.0,1.0,False
3518,1,Non-White,1,0,0,0,3,28.0,15.0,True
2596,1,Non-White,0,0,0,0,0,3.0,1.0,False
6106,0,White,0,4,0,0,5,1.0,10.0,True
3421,1,Non-White,1,0,0,0,1,1.0,1.0,True
1937,1,White,1,0,0,0,1,1.0,1.0,True
408,1,Non-White,1,0,0,0,0,1.0,101.0,False
3133,1,White,0,0,0,0,1,2.0,2.0,True
1238,0,White,0,0,0,0,3,1.0,6.0,False
396,1,Non-White,1,0,0,0,12,1.0,4.0,True
4139,1,White,1,0,0,0,1,2.0,1.0,False
4816,1,White,0,0,0,1,5,22.0,6.0,False
4205,0,Non-White,0,0,0,0,0,1.0,34.0,False
1485,1,Non-White,1,0,0,0,0,0.0,0.0,False
1834,1,White,0,0,0,0,0,4.0,1.0,False
4708,0,Non-White,1,0,0,0,21,1.0,449.0,False
2379,1,Non-White,0,0,1,0,5,1.0,1.0,True
4759,1,Non-White,1,0,0,0,0,1.0,1.0,False
5196,1,White,0,0,0,0,0,1.0,1.0,False
2385,0,Non-White,0,0,0,0,4,1.0,1.0,False
5880,1,Non-White,0,0,1,2,14,1.0,1.0,False
2639,1,White,0,0,0,0,0,2.0,1.0,True
4268,1,Non-White,1,0,0,0,0,1.0,1.0,False
3750,1,White,1,0,0,0,0,1.0,5.0,False
5238,0,Non-White,1,0,0,0,3,1.0,34.0,False
3338,1,Non-White,0,0,0,0,1,6.0,1.0,False
3600,1,Non-White,1,0,0,0,4,0.0,1.0,False
2929,1,Non-White,1,0,0,0,9,1.0,29.0,True
1847,1,White,1,0,0,0,0,1.0,2.0,True
6027,1,Non-White,0,0,0,0,0,2.0,1.0,True
2444,0,Non-White,0,0,0,0,1,1.0,1.0,False
902,1,Non-White,1,0,0,0,2,1.0,1.0,False
4423,1,Non-White,0,0,0,0,2,2.0,1.0,False
410,1,Non-White,0,0,0,0,2,26.0,1.0,True
3235,1,Non-White,1,2,0,0,4,1.0,2.0,True
5815,1,Non-White,0,0,0,0,1,26.0,1.0,False
2614,1,Non-White,1,0,0,0,6,1.0,25.0,False
91,1,White,1,0,0,0,1,1.0,107.0,False
96,1,Non-White,1,0,0,0,5,0.0,0.0,False
1311,1,White,1,0,0,0,5,1.0,1.0,False
6152,1,Non-White,0,0,0,0,1,14.0,9.0,False
4471,1,Non-White,1,0,0,0,0,0.0,1.0,False
6134,1,Non-White,0,0,0,2,1,1.0,16.0,True
582,1,Non-White,1,0,1,0,4,1.0,2.0,True
1339,1,Non-White,0,0,0,0,0,0.0,0.0,False
1790,1,Non-White,0,0,0,0,3,1.0,128.0,False
5047,0,White,1,0,0,0,9,1.0,49.0,False
5567,1,White,0,0,0,0,0,0.0,1.0,False
5926,1,White,1,0,0,0,1,1.0,1.0,False
2663,1,White,1,0,0,0,3,0.0,0.0,False
3077,1,Non-White,0,0,0,0,1,5.0,2.0,True
3383,0,Non-White,0,0,0,0,3,1.0,2.0,False
460,0,Non-White,0,0,0,0,5,1.0,1.0,False
5741,1,White,1,0,0,0,3,1.0,9.0,False
4188,1,Non-White,0,0,0,0,3,1.0,2.0,True
1369,0,Non-White,1,0,0,0,12,1.0,51.0,False
1534,1,Non-White,1,0,0,0,0,1.0,3.0,True
1602,1,Non-White,0,0,2,0,3,1.0,1.0,False
2485,1,Non-White,0,0,0,0,1,28.0,13.0,False
2402,1,White,0,0,0,0,1,1.0,5.0,False
14,0,Non-White,0,0,0,0,3,1.0,1.0,False
1740,1,Non-White,0,0,0,0,2,0.0,3.0,True
4256,1,Non-White,1,0,0,0,2,17.0,17.0,True
4947,1,Non-White,0,0,0,1,2,1.0,8.0,False
1668,1,Non-White,1,0,0,0,5,1.0,1.0,True
4303,1,White,1,0,0,0,0,2.0,1.0,False
3916,1,Non-White,1,0,0,0,4,5.0,5.0,True
1316,1,Non-White,1,0,0,0,0,0.0,1.0,False
6090,1,Non-White,0,0,0,0,0,3.0,1.0,False
3679,1,Non-White,0,0,0,0,0,1.0,20.0,False
5364,0,White,0,0,0,0,4,1.0,3.0,False
1297,1,Non-White,0,0,0,0,4,0.0,21.0,False
3096,1,Non-White,0,0,0,0,0,2.0,1.0,True
4171,0,White,0,0,0,0,20,11.0,56.0,False
387,0,Non-White,0,1,1,0,10,1.0,1.0,False
5651,1,Non-White,0,0,0,0,1,1.0,1.0,False
936,1,Non-White,1,0,0,0,7,1.0,1.0,False
2944,0,White,0,0,0,0,0,0.0,0.0,False
593,1,Non-White,0,0,0,0,10,6.0,6.0,True
1811,1,Non-White,1,0,0,0,4,26.0,8.0,True
6105,0,Non-White,1,0,0,0,9,1.0,1.0,False
1445,1,White,1,0,0,0,4,30.0,14.0,False
4097,1,Non-White,0,0,0,0,2,1.0,1.0,True
1443,1,Non-White,1,0,0,0,0,0.0,0.0,True
5279,1,Non-White,0,0,0,0,3,1.0,1.0,True
175,1,Non-White,0,0,0,0,0,1.0,3.0,True
3687,0,Non-White,0,0,1,0,1,1.0,456.0,False
4814,1,Non-White,0,0,0,0,0,0.0,1.0,True
5069,1,Non-White,1,0,0,0,3,4.0,1.0,True
2911,1,White,1,0,0,0,2,1.0,1.0,False
1799,1,White,1,0,0,0,1,1.0,69.0,False
3143,1,White,1,0,0,0,0,1.0,18.0,True
772,1,White,0,0,0,1,3,1.0,45.0,True
5498,1,White,0,0,0,0,0,1.0,2.0,False
3770,1,Non-White,1,0,0,0,0,1.0,2.0,True
78,0,White,0,0,0,0,7,0.0,0.0,False
3110,1,Non-White,0,0,0,0,0,1.0,2.0,False
2356,1,Non-White,1,0,0,0,0,1.0,1.0,False
3472,1,Non-White,1,0,0,0,15,1.0,81.0,False
2501,1,Non-White,0,0,0,2,0,0.0,0.0,True
4937,1,Non-White,0,0,0,0,0,0.0,0.0,True
5952,0,Non-White,0,0,0,0,5,0.0,37.0,True
450,1,White,1,0,0,0,1,7.0,1.0,False
86,1,Non-White,0,0,0,0,1,1.0,1.0,False
451,1,White,0,0,0,0,0,1.0,0.0,False
1738,0,Non-White,0,0,0,0,1,1.0,16.0,False
3556,1,Non-White,0,0,0,0,0,1.0,1.0,False
1614,0,Non-White,1,0,0,0,14,1.0,2.0,False
4731,1,Non-White,1,0,0,0,0,1.0,1.0,False
3080,1,Non-White,1,0,0,0,0,0.0,0.0,True
1159,1,White,1,0,0,0,10,18.0,2.0,False
2006,1,White,1,0,0,0,0,0.0,28.0,False
3610,1,Non-White,1,0,0,0,0,0.0,0.0,True
4651,1,Non-White,0,0,0,0,1,1.0,1.0,False
3889,1,White,1,0,0,0,2,4.0,3.0,False
1705,1,White,1,0,0,0,0,1.0,3.0,True
435,1,Non-White,1,0,0,0,6,1.0,52.0,False
4952,1,Non-White,0,0,0,0,1,1.0,2.0,False
3805,1,Non-White,1,0,0,0,12,1.0,242.0,False
1886,1,Non-White,0,0,0,0,1,0.0,0.0,True
2855,1,Non-White,1,0,0,0,2,1.0,1.0,True
2564,1,Non-White,0,0,0,0,5,1.0,5.0,False
5106,1,Non-White,0,0,0,0,5,1.0,37.0,False
4837,1,Non-White,1,0,0,0,2,0.0,7.0,False
6153,1,White,0,0,0,0,2,0.0,1.0,True
4442,0,Non-White,0,1,2,0,5,1.0,2.0,False
4332,1,Non-White,1,0,0,0,0,3.0,1.0,True
2980,1,Non-White,1,0,0,0,0,1.0,2.0,True
2537,1,Non-White,1,0,0,0,0,1.0,1.0,True
3821,1,White,0,0,0,1,1,23.0,2.0,False
730,1,White,1,0,0,0,0,1.0,1.0,False
2078,0,Non-White,0,0,1,0,2,1.0,77.0,False
689,1,Non-White,0,0,0,1,0,1.0,1.0,False
1620,0,Non-White,0,0,0,0,4,1.0,33.0,False
160,1,White,1,0,0,0,8,0.0,71.0,True
3934,1,White,0,0,0,0,2,1.0,1.0,False
5906,0,Non-White,1,0,0,0,8,0.0,1.0,False
5704,0,Non-White,1,0,0,0,25,1.0,10.0,False
1535,1,White,0,0,0,0,0,0.0,1.0,False
596,1,White,1,0,0,0,9,0.0,385.0,False
4550,1,White,0,0,0,0,0,1.0,2.0,True
143,1,Non-White,0,0,0,0,1,1.0,2.0,True
3460,0,Non-White,0,0,0,0,3,1.0,8.0,False
5400,0,Non-White,0,1,0,0,6,0.0,0.0,False
961,1,White,1,0,0,0,6,0.0,33.0,True
4573,1,Non-White,1,0,0,0,1,0.0,23.0,False
2868,1,White,1,0,0,0,2,3.0,0.0,False
4552,1,Non-White,1,0,0,0,16,1.0,24.0,False
4700,0,Non-White,0,0,0,1,4,1.0,170.0,False
521,1,White,1,0,0,0,0,0.0,0.0,True
1004,1,White,0,0,0,0,3,1.0,1.0,True
2488,1,Non-White,0,0,0,0,0,1.0,1.0,False
4106,1,Non-White,1,0,0,0,0,1.0,1.0,True
3742,0,Non-White,0,0,3,0,3,1.0,205.0,True
3884,1,Non-White,1,0,0,0,0,1.0,4.0,True
4850,0,Non-White,1,0,0,0,9,0.0,1.0,False
2197,0,Non-White,1,0,0,0,5,1.0,1.0,False
3464,1,Non-White,1,0,0,0,1,12.0,8.0,True
4587,1,White,0,0,0,0,0,7.0,6.0,False
1774,0,White,0,0,0,2,5,2.0,5.0,False
3057,1,Non-White,0,0,0,0,4,0.0,0.0,False
1242,1,Non-White,0,0,0,1,4,1.0,5.0,False
889,1,White,1,0,0,0,0,1.0,1.0,True
2358,0,Non-White,0,0,0,0,9,1.0,243.0,False
4345,0,Non-White,1,2,0,0,8,0.0,2.0,False
3150,1,White,1,0,0,0,3,25.0,0.0,True
1336,1,Non-White,1,0,0,1,15,1.0,7.0,False
823,1,White,0,0,0,0,2,1.0,14.0,True
1987,1,White,0,0,0,0,0,0.0,13.0,True
3188,1,Non-White,0,0,0,0,0,1.0,1.0,True
5232,1,Non-White,1,0,0,0,0,1.0,2.0,False
1962,1,Non-White,1,0,0,0,0,1.0,1.0,False
4686,0,Non-White,0,0,0,0,1,0.0,1.0,False
4416,1,Non-White,1,0,0,0,3,1.0,2.0,True
4751,1,Non-White,1,0,0,0,3,1.0,81.0,True
4498,0,Non-White,1,1,1,1,13,1.0,2.0,False
5655,1,Non-White,0,0,0,0,2,1.0,1.0,False
407,1,White,1,0,0,0,1,2.0,0.0,False
1184,1,Non-White,1,0,0,0,0,1.0,1.0,False
1935,0,Non-White,0,0,1,0,1,0.0,1.0,True
3790,1,White,1,0,0,0,0,1.0,1.0,True
3284,1,Non-White,1,0,0,0,4,12.0,2.0,False
4270,1,Non-White,1,0,0,0,1,0.0,0.0,True
471,1,White,1,0,0,0,1,9.0,6.0,True
1422,0,White,1,0,0,0,13,0.0,17.0,False
2418,0,Non-White,1,0,0,0,0,1.0,1.0,False
5888,1,Non-White,0,0,2,0,17,0.0,1.0,False
572,0,Non-White,1,0,0,0,17,1.0,6.0,False
5401,0,Non-White,0,0,0,0,2,10.0,1.0,False
6007,1,White,0,0,0,0,1,1.0,6.0,False
3350,1,Non-White,1,0,0,0,4,1.0,1.0,True
2593,1,Non-White,1,0,0,0,0,1.0,1.0,True
3024,1,Non-White,0,0,0,0,2,22.0,16.0,False
189,1,Non-White,1,0,0,0,5,0.0,0.0,True
1435,1,White,0,0,0,0,0,1.0,1.0,True
719,1,White,1,0,0,0,0,1.0,1.0,False
1661,1,White,0,0,0,0,1,1.0,37.0,False
5805,1,Non-White,1,0,0,0,4,1.0,1.0,False
5280,1,Non-White,1,0,0,0,3,21.0,2.0,True
4424,1,Non-White,1,0,0,0,0,1.0,1.0,False
5886,1,White,1,0,0,0,0,0.0,1.0,False
759,1,Non-White,0,0,0,0,1,7.0,180.0,False
1891,1,White,1,0,0,0,0,0.0,0.0,True
2966,1,White,1,0,0,0,1,0.0,0.0,False
714,1,White,1,0,0,0,4,1.0,0.0,True
4953,1,Non-White,1,0,0,0,3,0.0,0.0,False
3620,1,Non-White,1,0,0,0,7,0.0,0.0,False
2301,0,Non-White,1,0,0,0,9,0.0,1.0,True
5158,1,Non-White,1,0,0,0,1,1.0,1.0,True
1968,1,Non-White,1,0,0,0,1,1.0,5.0,False
3947,0,White,0,0,0,0,0,0.0,1.0,False
2113,1,White,1,0,0,0,0,1.0,1.0,True
5008,1,White,1,0,0,0,0,0.0,0.0,True
116,1,Non-White,1,0,0,0,3,1.0,8.0,False
1934,1,Non-White,0,0,0,0,1,1.0,4.0,False
2973,1,Non-White,1,0,0,0,3,27.0,1.0,True
1547,1,Non-White,0,0,0,0,3,1.0,4.0,False
2769,1,Non-White,1,0,0,0,1,1.0,1.0,False
5583,1,Non-White,0,0,0,0,0,1.0,1.0,True
4178,0,Non-White,1,0,0,0,1,1.0,17.0,False
142,1,White,1,0,0,0,0,0.0,2.0,False
5481,1,White,1,0,0,0,0,1.0,1.0,False
484,1,Non-White,1,0,0,0,6,1.0,1.0,False
5462,1,Non-White,0,0,0,0,1,3.0,0.0,True
3817,1,Non-White,1,0,0,0,0,1.0,1.0,False
1737,0,Non-White,1,0,0,0,2,1.0,162.0,False
4457,1,Non-White,1,0,0,0,1,3.0,2.0,True
231,1,White,0,0,0,0,0,1.0,2.0,False
59,1,Non-White,1,0,0,0,0,0.0,3.0,True
4927,1,Non-White,0,0,0,0,1,22.0,22.0,False
3120,1,Non-White,1,0,0,0,11,1.0,1.0,True
302,0,Non-White,0,2,0,0,3,0.0,0.0,False
5455,1,White,1,0,0,0,0,3.0,1.0,True
2809,1,Non-White,0,0,0,0,5,1.0,34.0,False
3391,1,White,1,0,0,0,6,23.0,1.0,False
4133,0,Non-White,1,0,0,0,15,1.0,72.0,False
4898,1,Non-White,1,0,0,0,9,1.0,2.0,False
1634,1,Non-White,1,0,0,0,0,0.0,0.0,True
605,1,White,0,0,0,0,1,0.0,16.0,False
3222,1,Non-White,0,0,0,0,1,1.0,1.0,True
776,1,Non-White,0,0,0,0,1,1.0,2.0,False
2717,1,White,1,0,0,0,0,1.0,1.0,True
5025,1,White,0,0,1,1,3,0.0,0.0,True
1211,1,White,0,1,0,1,5,0.0,54.0,True
5613,1,Non-White,0,0,0,0,0,0.0,0.0,False
1094,1,Non-White,1,0,0,0,2,0.0,8.0,False
2235,1,Non-White,0,0,0,0,1,1.0,1.0,False
4568,1,Non-White,0,0,1,2,1,1.0,3.0,False
1061,1,White,1,0,0,0,0,1.0,1.0,False
577,0,Non-White,0,0,0,1,2,0.0,80.0,True
188,1,Non-White,0,0,0,0,2,1.0,3.0,False
3268,1,Non-White,0,0,0,1,1,1.0,1.0,True
6099,1,Non-White,1,0,0,0,1,1.0,1.0,False
2076,1,Non-White,0,0,0,0,1,1.0,29.0,False
3826,1,Non-White,1,1,0,0,2,1.0,1.0,True
2647,0,Non-White,0,0,13,1,21,0.0,118.0,False
3924,0,White,0,0,0,0,2,22.0,0.0,False
335,1,Non-White,1,0,0,0,5,1.0,12.0,False
1617,1,Non-White,0,0,0,0,0,1.0,1.0,True
5695,0,Non-White,1,0,0,0,1,1.0,1.0,True
3286,1,White,0,1,0,0,2,1.0,1.0,False
5166,1,White,1,0,0,0,6,1.0,1.0,False
3896,1,White,1,0,0,0,1,0.0,1.0,True
5606,0,White,0,0,0,0,0,1.0,1.0,True
362,0,White,0,0,1,1,3,0.0,0.0,False
6025,1,White,1,0,0,0,0,1.0,1.0,True
3899,0,Non-White,0,0,0,0,2,1.0,18.0,False
3454,1,Non-White,1,0,0,0,0,1.0,1.0,True
2782,1,White,0,0,0,0,1,0.0,9.0,False
2091,1,White,1,0,0,0,1,1.0,1.0,True
4367,1,White,0,0,0,0,1,1.0,28.0,True
4110,0,Non-White,0,0,1,0,24,0.0,0.0,False
5382,1,White,0,0,0,0,1,1.0,1.0,False
6028,1,White,0,0,0,0,0,1.0,1.0,False
4343,1,Non-White,1,0,0,0,0,0.0,0.0,True
4622,1,Non-White,0,0,0,0,0,1.0,32.0,False
4055,1,Non-White,0,0,0,0,2,1.0,1.0,True
5788,1,White,1,0,0,1,0,2.0,1.0,False
3173,1,Non-White,1,0,0,0,10,1.0,1.0,False
5680,1,Non-White,0,0,0,0,3,1.0,8.0,True
314,1,White,1,0,0,0,1,1.0,1.0,True
2570,1,Non-White,1,0,0,0,3,1.0,1.0,True
3448,1,White,1,0,0,0,5,1.0,6.0,True
475,1,White,1,0,0,0,1,6.0,6.0,False
4150,1,White,0,1,1,1,4,1.0,1.0,True
5944,1,White,1,0,0,0,4,1.0,1.0,False
3377,1,Non-White,1,0,0,0,1,0.0,1.0,True
2510,1,Non-White,0,0,0,0,1,1.0,1.0,False
5134,1,White,1,0,0,0,2,1.0,9.0,False
1444,1,White,1,0,0,0,1,1.0,80.0,False
5747,1,Non-White,0,0,0,0,0,2.0,1.0,True
2033,1,Non-White,0,0,0,0,1,1.0,2.0,False
341,1,White,1,0,0,0,0,2.0,1.0,True
1991,1,Non-White,1,0,0,0,17,1.0,47.0,False
2743,0,Non-White,0,0,2,0,21,1.0,1.0,False
3869,1,Non-White,0,0,0,0,1,1.0,1.0,False
2877,0,White,1,1,0,0,9,1.0,1.0,False
3800,1,White,1,0,0,0,1,17.0,4.0,True
2316,0,White,0,0,0,0,3,1.0,36.0,True
588,1,Non-White,0,0,0,0,2,1.0,6.0,True
159,1,Non-White,1,0,0,0,3,10.0,2.0,False
1703,1,White,1,0,0,0,1,1.0,49.0,False
2796,0,Non-White,0,0,0,0,8,0.0,65.0,False
2046,1,Non-White,1,0,0,0,16,1.0,68.0,False
2180,1,White,0,0,0,0,0,1.0,1.0,False
5707,0,Non-White,0,0,0,0,1,1.0,1.0,True
4880,1,Non-White,0,0,0,0,0,0.0,4.0,False
3208,1,Non-White,0,0,0,0,0,0.0,0.0,False
5534,1,Non-White,1,0,0,0,13,1.0,4.0,False
4002,1,Non-White,0,0,0,0,0,1.0,45.0,True
114,1,White,0,0,1,0,10,1.0,7.0,False
2491,0,Non-White,0,0,1,0,7,1.0,39.0,False
882,0,Non-White,1,0,0,0,1,4.0,1.0,True
4154,0,Non-White,0,0,0,0,5,1.0,1.0,True
5426,0,Non-White,0,0,0,0,0,1.0,2.0,False
1193,1,Non-White,0,0,0,0,1,11.0,2.0,True
1282,1,Non-White,0,0,0,0,3,1.0,1.0,False
6095,1,Non-White,1,0,0,0,1,1.0,1.0,True
5350,0,Non-White,1,0,0,0,23,0.0,0.0,True
3993,1,Non-White,1,0,0,0,0,1.0,1.0,False
4797,1,White,1,0,0,0,10,1.0,6.0,False
695,0,Non-White,0,0,1,0,16,1.0,17.0,False
1342,1,Non-White,1,0,1,0,6,0.0,1.0,False
2409,0,Non-White,1,0,0,0,22,29.0,2.0,False
1496,1,Non-White,0,0,1,1,1,1.0,2.0,False
4281,1,White,0,0,0,0,0,1.0,1.0,False
3735,0,Non-White,0,0,0,0,3,1.0,0.0,False
5783,1,Non-White,1,0,0,0,1,1.0,1.0,False
5249,1,Non-White,1,0,0,0,5,1.0,1.0,False
3254,0,White,1,0,0,0,0,1.0,30.0,True
3753,1,Non-White,0,0,0,0,0,1.0,4.0,False
1100,1,White,0,0,0,0,0,3.0,2.0,False
1382,1,White,1,0,0,0,7,6.0,1.0,True
1579,0,Non-White,1,0,0,0,9,1.0,130.0,False
4157,1,Non-White,0,0,0,1,2,0.0,0.0,True
520,1,Non-White,0,0,0,0,4,1.0,32.0,False
3099,0,White,1,0,0,0,4,0.0,29.0,False
5851,1,Non-White,1,0,0,0,0,0.0,1.0,True
6094,1,White,1,0,0,0,0,1.0,1.0,False
5273,1,White,0,0,0,0,1,18.0,3.0,False
433,1,Non-White,0,0,0,0,2,1.0,2.0,True
4699,0,White,1,0,0,0,0,1.0,68.0,False
743,1,White,1,0,0,0,0,0.0,22.0,False
1024,0,Non-White,1,0,0,0,1,1.0,31.0,False
535,1,White,0,0,0,0,1,1.0,1.0,False
4333,1,Non-White,0,0,0,0,0,1.0,2.0,False
3740,0,Non-White,0,0,0,1,1,0.0,0.0,False
2774,0,Non-White,1,0,0,0,6,1.0,1.0,False
4050,1,White,1,0,0,0,3,0.0,40.0,True
